"CountryCode","Country","ItemCode","Item","ElementGroup","ElementCode","Element","Year","Unit","Value","Flag"
"3","Albania","1323","Amides","5161","5161","Use","1993","tonnes","1.000","Q"
"3","Albania","1323","Amides","5161","5161","Use","1994","tonnes","1.000","Q"
"3","Albania","1323","Amides","5161","5161","Use","1995","tonnes","1.000","Q"
"3","Albania","1346","Anticoagulants","5161","5161","Use","1993","tonnes","2.000","Q"
"3","Albania","1346","Anticoagulants","5161","5161","Use","1994","tonnes","3.000","Q"
"3","Albania","1346","Anticoagulants","5161","5161","Use","1995","tonnes","4.000","Q"
"3","Albania","1334","Benzimidazoles","5161","5161","Use","1993","tonnes","1.000","Q"
"3","Albania","1334","Benzimidazoles","5161","5161","Use","1994","tonnes","2.000","Q"
"3","Albania","1334","Benzimidazoles","5161","5161","Use","1995","tonnes","3.000","Q"
"3","Albania","1329","Bipiridils","5161","5161","Use","1993","tonnes","0.000","Q"
"3","Albania","1329","Bipiridils","5161","5161","Use","1994","tonnes","0.000","Q"
"3","Albania","1329","Bipiridils","5161","5161","Use","1995","tonnes","0.000","Q"
"3","Albania","1324","Carbamates Herbicides","5161","5161","Use","1993","tonnes","0.000","Q"
"3","Albania","1324","Carbamates Herbicides","5161","5161","Use","1994","tonnes","0.000","Q"
"3","Albania","1324","Carbamates Herbicides","5161","5161","Use","1995","tonnes","1.000","Q"
"3","Albania","1312","Carbamates Insecticides","5161","5161","Use","1993","tonnes","14.000","Q"
"3","Albania","1312","Carbamates Insecticides","5161","5161","Use","1994","tonnes","26.000","Q"
"3","Albania","1312","Carbamates Insecticides","5161","5161","Use","1995","tonnes","30.000","Q"
"3","Albania","1310","Chlorinated Hydrocarbons","5161","5161","Use","1993","tonnes","10.000","Q"
"3","Albania","1310","Chlorinated Hydrocarbons","5161","5161","Use","1994","tonnes","17.000","Q"
"3","Albania","1310","Chlorinated Hydrocarbons","5161","5161","Use","1995","tonnes","22.000","Q"
"3","Albania","1325","Dinitroanilines","5161","5161","Use","1993","tonnes","0.000","Q"
"3","Albania","1325","Dinitroanilines","5161","5161","Use","1994","tonnes","0.000","Q"
"3","Albania","1325","Dinitroanilines","5161","5161","Use","1995","tonnes","0.000","Q"
"3","Albania","1333","Dithiocarbamates","5161","5161","Use","1993","tonnes","9.000","Q"
"3","Albania","1333","Dithiocarbamates","5161","5161","Use","1994","tonnes","15.000","Q"
"3","Albania","1333","Dithiocarbamates","5161","5161","Use","1995","tonnes","19.000","Q"
"3","Albania","1331","Fungicides&Bactericides + (Total)","5161","5161","Use","1993","tonnes","44.000","Q"
"3","Albania","1331","Fungicides&Bactericides + (Total)","5161","5161","Use","1994","tonnes","74.000","Q"
"3","Albania","1331","Fungicides&Bactericides + (Total)","5161","5161","Use","1995","tonnes","94.000","Q"
"3","Albania","1320","Herbicides + (Total)","5161","5161","Use","1993","tonnes","6.000","Q"
"3","Albania","1320","Herbicides + (Total)","5161","5161","Use","1994","tonnes","7.000","Q"
"3","Albania","1320","Herbicides + (Total)","5161","5161","Use","1995","tonnes","8.000","Q"
"3","Albania","1332","Inorganics","5161","5161","Use","1993","tonnes","18.000","Q"
"3","Albania","1332","Inorganics","5161","5161","Use","1994","tonnes","32.000","Q"
"3","Albania","1332","Inorganics","5161","5161","Use","1995","tonnes","41.000","Q"
"3","Albania","1309","Insecticides + (Total)","5161","5161","Use","1993","tonnes","70.000","Q"
"3","Albania","1309","Insecticides + (Total)","5161","5161","Use","1994","tonnes","117.000","Q"
"3","Albania","1309","Insecticides + (Total)","5161","5161","Use","1995","tonnes","145.000","Q"
"3","Albania","1311","Organo-Phosphates","5161","5161","Use","1993","tonnes","30.000","Q"
